property_id,property_type,bhk,bathrooms,balcony,floor_number,total_floors,area_sqft,property_age,furnished_status,parking_availability,city,area,locality,pincode,hospital_distance_km,school_distance_km,metro_distance_km,mall_distance_km,airport_distance_km,population_density,crime_index,infrastructure_growth_score,price
1,Independent House,2,2,2.0,12,17,967,1,Fully Furnished,No,Bangalore,West,Indiranagar,878120,0.5,6.9,5.8,7.1,18.5,4442,57.7,45.7,16198000.0
2,Apartment,2,3,1.0,6,13,1101,5,Fully Furnished,Yes,Noida,East,Sector 18,526372,1.0,0.2,3.5,11.1,31.4,3935,47.3,24.4,9044000.0
3,Apartment,2,2,3.0,3,34,891,4,Semi Furnished,No,Kolkata,North,Howrah,433895,1.3,1.0,2.1,0.7,12.4,23625,31.0,26.9,7132000.0
4,Villa,2,2,2.0,0,4,724,0,Fully Furnished,Yes,Chennai,South,Porur,682709,1.4,0.7,11.2,4.2,19.7,5736,72.2,82.8,11914000.0
5,Apartment,2,2,3.0,2,9,1014,5,Unfurnished,Yes,Mumbai,East,Juhu,381810,1.4,4.8,0.9,3.5,1.0,20122,21.9,35.9,22462000.0
6,Independent House,2,2,1.0,7,7,802,25,Unfurnished,Yes,Mumbai,North,Worli,851814,2.5,2.7,0.6,2.9,31.2,21383,55.1,31.8,18797000.0
7,Penthouse,2,2,1.0,37,37,936,10,Fully Furnished,Yes,Mumbai,East,Borivali,493316,0.1,0.6,3.5,4.0,26.8,22150,30.0,62.9,54560000.0
8,Apartment,3,3,1.0,22,32,1193,1,Semi Furnished,Yes,Jaipur,Central,Vaishali Nagar,114447,7.5,1.7,13.3,2.4,39.2,6091,17.1,42.8,8750000.0
9,Independent House,3,3,1.0,18,31,1160,6,Fully Furnished,Yes,Pune,South,Hadapsar,898041,2.7,1.0,1.6,3.2,7.7,7338,67.5,65.8,19008000.0
10,Apartment,2,3,1.0,39,40,729,1,Unfurnished,No,Kolkata,Central,Howrah,134478,9.4,2.4,1.2,1.3,41.5,22152,25.7,63.8,9177000.0
11,Apartment,4,4,0.0,2,6,1370,13,Semi Furnished,Yes,Mumbai,East,Andheri,682584,6.1,4.5,1.6,10.8,20.5,21030,15.7,66.1,33874000.0
12,Apartment,3,2,3.0,3,19,1024,10,Fully Furnished,Yes,Noida,West,Sector 50,829914,2.6,2.0,0.7,1.1,5.2,6128,42.5,71.9,10307000.0
13,Apartment,4,4,1.0,7,30,1436,32,Unfurnished,Yes,Ahmedabad,North,Bopal,568486,1.1,0.9,11.2,6.3,37.1,6069,69.9,64.6,6831000.0
14,Apartment,4,4,2.0,26,28,1329,2,Fully Furnished,Yes,Delhi,Central,Rohini,266858,2.6,1.6,0.1,4.5,32.5,11071,54.0,39.4,28169000.0
15,Apartment,2,2,3.0,7,7,730,5,Semi Furnished,Yes,Delhi,East,Vasant Kunj,435395,5.1,3.3,0.1,8.3,6.4,10580,56.3,55.0,13718000.0
